Date,Open,High,Low,Close,Adj Close,P/L
24-Jun-16,"2,103.81","2,103.81","2,032.57","2,037.41","2,037.41",-3.592%
23-Jun-16,"2,092.80","2,113.32","2,092.80","2,113.32","2,113.32",1.336%
22-Jun-16,"2,089.75","2,099.71","2,084.36","2,085.45","2,085.45",-0.165%
21-Jun-16,"2,085.19","2,093.66","2,083.02","2,088.90","2,088.90",0.271%
20-Jun-16,"2,075.58","2,100.66","2,075.58","2,083.25","2,083.25",0.581%
17-Jun-16,"2,078.20","2,078.20","2,062.84","2,071.22","2,071.22",-0.326%
16-Jun-16,"2,066.36","2,079.62","2,050.37","2,077.99","2,077.99",0.313%
15-Jun-16,"2,077.60","2,085.65","2,069.80","2,071.50","2,071.50",-0.184%
14-Jun-16,"2,076.65","2,081.30","2,064.10","2,075.32","2,075.32",-0.180%
13-Jun-16,"2,091.75","2,098.12","2,078.46","2,079.06","2,079.06",-0.812%
10-Jun-16,"2,109.57","2,109.57","2,089.96","2,096.07","2,096.07",-0.918%
9-Jun-16,"2,115.65","2,117.64","2,107.73","2,115.48","2,115.48",-0.172%
8-Jun-16,"2,112.71","2,120.55","2,112.71","2,119.12","2,119.12",0.331%
7-Jun-16,"2,110.18","2,119.22","2,110.18","2,112.13","2,112.13",0.129%
6-Jun-16,"2,100.83","2,113.36","2,100.83","2,109.41","2,109.41",0.490%
3-Jun-16,"2,104.07","2,104.07","2,085.36","2,099.13","2,099.13",-0.291%
2-Jun-16,"2,097.71","2,105.26","2,088.59","2,105.26","2,105.26",0.282%
1-Jun-16,"2,093.94","2,100.97","2,085.10","2,099.33","2,099.33",0.113%
31-May-16,"2,100.13","2,103.48","2,088.66","2,096.95","2,096.95",-0.101%
27-May-16,"2,090.06","2,099.06","2,090.06","2,099.06","2,099.06",0.429%
26-May-16,"2,091.44","2,094.30","2,087.08","2,090.10","2,090.10",-0.021%
25-May-16,"2,078.93","2,094.73","2,078.93","2,090.54","2,090.54",0.697%
24-May-16,"2,052.65","2,079.67","2,052.65","2,076.06","2,076.06",1.368%
23-May-16,"2,052.23","2,055.58","2,047.26","2,048.04","2,048.04",-0.209%
20-May-16,"2,041.88","2,058.35","2,041.88","2,052.32","2,052.32",0.602%
19-May-16,"2,044.21","2,044.21","2,025.91","2,040.04","2,040.04",-0.371%
18-May-16,"2,044.38","2,060.61","2,034.49","2,047.63","2,047.63",0.021%
17-May-16,"2,065.04","2,065.69","2,040.82","2,047.21","2,047.21",-0.941%
16-May-16,"2,046.53","2,071.88","2,046.53","2,066.66","2,066.66",0.980%
13-May-16,"2,062.50","2,066.79","2,043.13","2,046.61","2,046.61",-0.848%
12-May-16,"2,067.17","2,073.99","2,053.13","2,064.11","2,064.11",-0.017%
11-May-16,"2,083.29","2,083.29","2,064.46","2,064.46","2,064.46",-0.956%
10-May-16,"2,062.63","2,084.87","2,062.63","2,084.39","2,084.39",1.248%
9-May-16,"2,057.55","2,064.15","2,054.31","2,058.69","2,058.69",0.075%
6-May-16,"2,047.77","2,057.72","2,039.45","2,057.14","2,057.14",0.317%
5-May-16,"2,052.95","2,060.23","2,045.77","2,050.63","2,050.63",-0.024%
4-May-16,"2,060.30","2,060.30","2,045.55","2,051.12","2,051.12",-0.594%
3-May-16,"2,077.18","2,077.18","2,054.89","2,063.37","2,063.37",-0.868%
2-May-16,"2,067.17","2,083.42","2,066.11","2,081.43","2,081.43",0.781%
29-Apr-16,"2,071.82","2,073.85","2,052.28","2,065.30","2,065.30",-0.506%
28-Apr-16,"2,090.93","2,099.30","2,071.62","2,075.81","2,075.81",-0.923%
27-Apr-16,"2,092.33","2,099.89","2,082.31","2,095.15","2,095.15",0.165%
26-Apr-16,"2,089.84","2,096.87","2,085.80","2,091.70","2,091.70",0.187%
25-Apr-16,"2,089.37","2,089.37","2,077.52","2,087.79","2,087.79",-0.181%
22-Apr-16,"2,091.49","2,094.32","2,081.20","2,091.58","2,091.58",0.005%
21-Apr-16,"2,102.09","2,103.78","2,088.52","2,091.48","2,091.48",-0.519%
20-Apr-16,"2,101.52","2,111.05","2,096.32","2,102.40","2,102.40",0.076%
19-Apr-16,"2,096.05","2,104.05","2,091.68","2,100.80","2,100.80",0.308%
18-Apr-16,"2,078.83","2,094.66","2,073.65","2,094.34","2,094.34",0.654%
15-Apr-16,"2,083.10","2,083.22","2,076.31","2,080.73","2,080.73",-0.098%
14-Apr-16,"2,082.89","2,087.84","2,078.13","2,082.78","2,082.78",0.017%
13-Apr-16,"2,065.92","2,083.18","2,065.92","2,082.42","2,082.42",1.004%
12-Apr-16,"2,043.72","2,065.05","2,039.74","2,061.72","2,061.72",0.966%
11-Apr-16,"2,050.23","2,062.93","2,041.88","2,041.99","2,041.99",-0.274%
8-Apr-16,"2,045.54","2,060.63","2,041.69","2,047.60","2,047.60",0.279%
7-Apr-16,"2,063.01","2,063.01","2,033.80","2,041.91","2,041.91",-1.198%
6-Apr-16,"2,045.56","2,067.33","2,043.09","2,066.66","2,066.66",1.051%
5-Apr-16,"2,062.50","2,062.50","2,042.56","2,045.17","2,045.17",-1.014%
4-Apr-16,"2,073.19","2,074.02","2,062.57","2,066.13","2,066.13",-0.321%
1-Apr-16,"2,056.62","2,075.07","2,043.98","2,072.78","2,072.78",0.633%
31-Mar-16,"2,063.77","2,067.92","2,057.46","2,059.74","2,059.74",-0.204%
