Date,Open,High,Low,Close,Adj Close,P/L,GGLL,Date,Open,High,Low,Close,Adj Close,P/L,ratio,___,
6-Mar-23,94.02,95.97,94,95.13,94.68,1.580%,,6-Mar-23,19.36,19.92,19.34,19.66,18.45,2.289%,1.45,-27.57%,
3-Mar-23,92.48,93.73,92.45,93.65,93.2,1.793%,,3-Mar-23,18.86,19.24,18.86,19.22,18.04,2.561%,1.43,-28.59%,
2-Mar-23,89.66,92.28,89.59,92,91.56,1.815%,,2-Mar-23,18.05,18.81,18.04,18.74,17.59,2.629%,1.45,-27.58%,
1-Mar-23,89.98,91.03,89.67,90.36,89.93,0.333%,,1-Mar-23,18.2,18.41,18.05,18.26,17.14,0.551%,1.65,-17.35%,
28-Feb-23,89.33,91.23,89.32,90.06,89.63,0.211%,,28-Feb-23,18,18.49,17.95,18.16,17.04,0.276%,1.31,-34.70%,
27-Feb-23,89.87,90.16,89.34,89.87,89.44,0.830%,,27-Feb-23,18.11,18.17,17.98,18.11,16.99,1.343%,1.62,-19.12%,
24-Feb-23,89.44,89.89,88.58,89.13,88.71,-1.936%,,24-Feb-23,17.98,18.07,17.72,17.87,16.77,-2.986%,1.54,-22.90%,
23-Feb-23,91.92,91.94,89.76,90.89,90.46,-0.829%,,23-Feb-23,18.75,18.75,18.08,18.42,17.29,-1.392%,1.68,-16.08%,
22-Feb-23,91.7,92.11,90.61,91.65,91.21,-0.153%,,22-Feb-23,18.68,18.78,18.34,18.68,17.53,-0.267%,1.75,-12.49%,
21-Feb-23,93,93.1,91.72,91.79,91.35,-2.713%,,21-Feb-23,19.01,19.06,18.67,18.73,17.58,-3.998%,1.47,-26.33%,
17-Feb-23,94.85,95.56,93.21,94.35,93.9,-1.215%,,17-Feb-23,19.84,19.84,19.16,19.51,18.31,-1.911%,1.57,-21.35%,
16-Feb-23,95.37,97.68,94.74,95.51,95.06,-1.475%,,16-Feb-23,19.87,20.56,19.64,19.89,18.66,-2.116%,1.43,-28.27%,
15-Feb-23,94.49,97.12,94.15,96.94,96.48,2.387%,,15-Feb-23,19.56,20.36,19.45,20.32,19.07,3.568%,1.49,-25.27%,
14-Feb-23,94.43,94.85,92.26,94.68,94.23,0.074%,,14-Feb-23,19.55,19.67,18.88,19.62,18.41,0.000%,0.00,-100.00%,
13-Feb-23,94.74,95.2,93.84,94.61,94.16,0.042%,,13-Feb-23,19.62,19.77,19.38,19.62,18.41,0.051%,1.21,-39.72%,
10-Feb-23,95.45,96.75,94.25,94.57,94.12,-0.463%,,10-Feb-23,19.86,20.26,19.5,19.61,18.4,-0.809%,1.75,-12.62%,
9-Feb-23,100,100.03,93.63,95.01,94.56,-4.388%,,9-Feb-23,21.4,21.4,19.32,19.77,18.55,-6.436%,1.47,-26.65%,
8-Feb-23,102.05,103.14,98.04,99.37,98.9,-7.683%,,8-Feb-23,22.06,22.4,20.71,21.13,19.83,-11.664%,1.52,-24.09%,
7-Feb-23,103.22,108.18,103.12,107.64,107.13,4.606%,,7-Feb-23,22.57,24.05,22.46,23.92,22.45,6.881%,1.49,-25.31%,
6-Feb-23,102.4,104.36,101.88,102.9,102.41,-1.794%,,6-Feb-23,22.24,22.73,22.06,22.38,21,-2.696%,1.50,-24.88%,
3-Feb-23,102.93,107.81,102.58,104.78,104.28,-2.747%,,3-Feb-23,22.35,23.97,22.33,23,21.58,-4.326%,1.57,-21.27%,
2-Feb-23,105.8,107.85,105.61,107.74,107.23,7.279%,,2-Feb-23,23.38,24.04,23.31,24.04,22.56,11.245%,1.54,-22.76%,
1-Feb-23,98.71,101.19,97.58,100.43,99.95,1.609%,,1-Feb-23,21.08,21.75,20.74,21.61,20.28,2.417%,1.50,-24.87%,
31-Jan-23,96.87,98.88,96.82,98.84,98.37,1.960%,,31-Jan-23,20.5,21.14,20.5,21.1,19.8,2.676%,1.37,-31.72%,
30-Jan-23,97.48,98.29,96.4,96.94,96.48,-2.445%,,30-Jan-23,20.72,20.92,20.36,20.55,19.28,-3.476%,1.42,-28.93%,
27-Jan-23,97.31,100.32,97.31,99.37,98.9,1.897%,,27-Jan-23,20.67,21.57,20.67,21.29,19.98,2.900%,1.53,-23.57%,
26-Jan-23,96.5,97.57,95.38,97.52,97.06,2.415%,,26-Jan-23,20.43,20.69,20.1,20.69,19.42,3.709%,1.54,-23.22%,
25-Jan-23,95.57,96.16,93.76,95.22,94.77,-2.538%,,25-Jan-23,20.09,20.24,19.58,19.95,18.72,-3.902%,1.54,-23.15%,
24-Jan-23,98.1,99.61,97.2,97.7,97.24,-2.094%,,24-Jan-23,21.1,21.37,20.66,20.76,19.48,-3.307%,1.58,-21.05%,
23-Jan-23,97.95,100.04,97.5,99.79,99.32,1.806%,,23-Jan-23,20.8,21.54,20.8,21.47,20.15,2.629%,1.46,-27.20%,
20-Jan-23,95.1,98.3,95.02,98.02,97.55,5.341%,,20-Jan-23,20.05,20.94,20.01,20.92,19.63,7.946%,1.49,-25.61%,
19-Jan-23,90.72,93.61,90.63,93.05,92.61,2.118%,,19-Jan-23,18.75,19.52,18.7,19.38,18.19,3.360%,1.59,-20.68%,
18-Jan-23,92.14,92.8,90.64,91.12,90.69,-0.186%,,18-Jan-23,19.2,19.24,18.65,18.75,17.59,-0.425%,2.28,14.07%,
17-Jan-23,92.06,92.25,90.05,91.29,90.86,-0.901%,,17-Jan-23,19.08,19.1,18.6,18.83,17.67,-1.362%,1.51,-24.42%,
13-Jan-23,90.85,92.19,90.13,92.12,91.68,1.086%,,13-Jan-23,18.68,19.09,18.51,19.09,17.92,1.543%,1.42,-29.00%,
12-Jan-23,91.48,91.87,89.75,91.13,90.7,-0.426%,,12-Jan-23,18.98,18.98,18.38,18.8,17.64,-0.687%,1.61,-19.42%,
11-Jan-23,89.18,91.6,89.01,91.52,91.08,3.506%,,11-Jan-23,18.27,18.95,18.18,18.93,17.76,5.460%,1.56,-22.14%,
10-Jan-23,85.98,88.67,85.83,88.42,88,0.454%,,10-Jan-23,17.25,18.05,17.22,17.95,16.84,0.335%,0.74,-63.10%,
9-Jan-23,88.36,90.05,87.86,88.02,87.6,0.779%,,9-Jan-23,17.95,18.46,17.83,17.89,16.79,1.360%,1.75,-12.67%,
6-Jan-23,86.79,87.69,84.86,87.34,86.92,1.323%,,6-Jan-23,17.5,17.72,16.94,17.65,16.56,1.729%,1.31,-34.63%,
5-Jan-23,87.47,87.57,85.9,86.2,85.79,-2.134%,,5-Jan-23,17.67,17.68,17.25,17.35,16.28,-3.073%,1.44,-28.02%,
4-Jan-23,90.35,90.65,87.27,88.08,87.66,-1.167%,,4-Jan-23,18.38,18.38,17.67,17.9,16.8,-1.756%,1.51,-24.75%,
3-Jan-23,89.59,91.05,88.52,89.12,88.7,1.009%,,3-Jan-23,18.34,18.77,18.08,18.22,17.1,1.504%,1.49,-25.44%,
30-Dec-22,86.98,88.3,86.57,88.23,87.81,-0.249%,,30-Dec-22,17.56,17.96,17.5,17.95,16.84,-0.222%,0.89,-55.30%,
29-Dec-22,86.62,88.85,86.61,88.45,88.03,2.825%,,29-Dec-22,17.59,18.15,17.59,17.99,16.88,3.928%,1.39,-30.47%,
28-Dec-22,86.98,88.04,85.94,86.02,85.61,-1.568%,,28-Dec-22,17.65,17.9,17.31,17.31,16.24,-2.037%,1.30,-35.02%,
27-Dec-22,88.8,88.94,87.01,87.39,86.97,-2.062%,,27-Dec-22,18.12,18.12,17.65,17.67,16.58,-3.231%,1.57,-21.65%,
23-Dec-22,87.11,89.55,87.07,89.23,88.81,1.675%,,23-Dec-22,17.92,18.36,17.8,18.26,17.14,2.182%,1.30,-34.85%,
22-Dec-22,88.16,88.54,86.32,87.76,87.34,-2.032%,,22-Dec-22,17.88,17.89,17.42,17.87,16.77,-2.828%,1.39,-30.41%,
21-Dec-22,89.08,90.22,88.32,89.58,89.15,0.629%,,21-Dec-22,18.2,18.57,18.07,18.39,17.26,0.822%,1.31,-34.64%,
20-Dec-22,88.11,89.18,87.44,89.02,88.6,0.656%,,20-Dec-22,17.97,18.28,17.88,18.24,17.12,0.385%,0.59,-70.63%,
19-Dec-22,90.26,90.56,88.21,88.44,88.02,-2.016%,,19-Dec-22,18.66,18.8,18.16,18.17,16.96,-3.248%,1.61,-19.46%,
16-Dec-22,90.76,91.33,89.52,90.26,89.83,-0.660%,,16-Dec-22,18.97,19.03,18.6,18.78,17.53,-0.792%,1.20,-40.00%,
15-Dec-22,93.13,93.64,90.01,90.86,90.43,-4.428%,,15-Dec-22,19.66,19.74,18.73,18.93,17.66,-6.657%,1.50,-24.84%,
14-Dec-22,95.2,96.87,93.6,95.07,94.62,-0.586%,,14-Dec-22,20.34,20.77,20,20.28,18.93,-0.783%,1.34,-33.16%,
